X,Y,OBJECTID,APPLICATION_NUMBER,STREET_NUMBER,STREET_NAME,POSTAL_CODE,APP_SUBMITTED_DATE,APP_STATUS,DECISION_DATE,APPEALED,THIRD_PARTY_APPEAL,APPEAL_TYPE,APPEAL_DATE,APPEAL_DECISION_DATE,SE_ANNO_CAD_DATA
576905.942808391,4807835.08627412,91,FL/A-23:231,99,MOUNTSBERG RD  FLAMBOROUGH,L0P 1B0,2023/08/23 04:00:00+00,Variance Granted,2023/09/21 04:00:00+00,No,,,,,
582757.710500367,4785912.42558065,92,AN/A-23:232,154,WILSON ST E ANCASTER,L9G 2B7,2023/08/25 04:00:00+00,,,,,,,,
582160.215635396,4786583.34530719,93,AN/A-23:234,222,SULPHUR SPRINGS   ANCASTER,L9G 4T7,2023/08/29 04:00:00+00,,,,,,,,
587978.035400272,4787877.59451293,94,HM/A-23:235,555,SANATORIUM RD  HAMILTON,L9C 2B1,2023/08/30 04:00:00+00,,,,,,,,
590807.828966717,4784622.00993394,95,HM/A-23:236,162,STONE CHURCH RD E HAMILTON,L9B 1A9,2023/08/31 04:00:00+00,,,,,,,,
587507.015268489,4799931.26010336,96,FL/A-23:237,761,CENTRE RD  FLAMBOROUGH,L8N 2Z7,2023/08/31 04:00:00+00,,,,,,,,
576074.09711801,4808220.91536541,97,FL/A-23:238,56,CAMPBELLVILLE RD  FLAMBOROUGH,L0P 1B0,2023/08/31 04:00:00+00,,,,,,,,
593147.981551037,4790423.91062539,98,HM/A-23:240,309,BARTON ST E HAMILTON,L8L 2X4,2023/09/05 04:00:00+00,,,,,,,,
582649.502274955,4792781.54739483,99,FL/A-23:241,8,MEDWIN DR  FLAMBOROUGH,L9H 7N4,2023/09/05 04:00:00+00,,,,,,,,
588993.66963815,4797207.0858256,100,FL/A-23:239,47,BAYVIEW AVE  FLAMBOROUGH,L9H 7G9,2023/09/06 04:00:00+00,,,,,,,,
603552.224882222,4785320.23631633,101,SC/A-23:243,92,MILLEN RD  STONEY CREEK,L8G 3G2,2023/09/07 04:00:00+00,,,,,,,,
592378.893412249,4787460.5422778,102,HM/A-23:242,290,EAST 16TH ST  HAMILTON,L9A 4J8,2023/09/07 04:00:00+00,,,,,,,,
578554.828008053,4779584.57412105,103,AN/A-23:245,1354,TRINITY RD S ANCASTER,L9G 3L1,2023/09/12 04:00:00+00,,,,,,,,
593081.908641741,4785157.33980259,104,HM/A-23:246,180,LAWNHURST DR  HAMILTON,L8V 4P2,2023/09/14 04:00:00+00,,,,,,,,
597210.542061418,4779181.1738592,105,GL/A-23:250,3355,GOLF CLUB RD  GLANBROOK,L0R 1P0,2023/09/14 04:00:00+00,,,,,,,,
592165.470274293,4789739.3320469,106,HM/A-23:247,160,KING ST E HAMILTON,L8N 1B2,2023/09/15 04:00:00+00,,,,,,,,
600268.125941811,4786501.62470953,107,SC/A-23:248,68,CENTENNIAL PKWY S STONEY CREEK,L8G 2C5,2023/09/18 04:00:00+00,,,,,,,,
591175.519736124,4784880.14702214,108,HM/A-23:249,1355,UPPER WELLINGTON ST  HAMILTON,L9A 3S8,2023/09/19 04:00:00+00,,,,,,,,
582715.984900778,4783679.41061159,109,AN/A-23:251,0,GARNER RD E ANCASTER,L9G 3K9,2023/09/20 04:00:00+00,,,,,,,,
582875.753315868,4789499.17853633,110,DN/A-23:252,3,CRAWFORD CRT  DUNDAS,L9H 6G2,2023/09/22 04:00:00+00,,,,,,,,
590208.858396485,4789579.96251906,111,HM/A-23:253,359,CHARLTON AVE W HAMILTON,L8P 2E6,2023/09/22 04:00:00+00,,,,,,,,
592463.971170238,4789784.50165208,112,HM/A-23:254,1,JARVIS ST  HAMILTON,L8R 3J2,2023/09/26 04:00:00+00,,,,,,,,
589866.418694601,4784926.34520703,113,HM/A-23:255,1021,WEST 5TH ST  HAMILTON,L9B 1A1,2023/09/27 04:00:00+00,,,,,,,,
593863.225164186,4783722.57892792,114,HM/A-23:256,999,STONE CHURCH RD E HAMILTON,L8W 1B2,2023/09/29 04:00:00+00,,,,,,,,
592162.006769021,4790706.71669171,115,HM/A-23:257,248,HUGHSON ST N HAMILTON,L8L 4M3,2023/09/29 04:00:00+00,,,,,,,,
